Year,Country,TotalEmissions,PerCapitaEmissions,ShareOfGlobalEmissions,AverageTemperature
1790,United Kingdom,19.173712,,99.980896,8.750167
1790,North America,0.003664,,0.019106,
1790,Europe,19.173712,,99.980896,8.004084
1790,Canada,0.003664,,0.019106,
1791,North America,0.003664,,0.017106,
1791,United Kingdom,21.41608,,99.982895,8.678917
1791,Canada,0.003664,,0.017106,
1791,Europe,21.41608,,99.982895,8.398
1792,Europe,21.8924,,99.98327,7.848
1792,Germany,0.468992,,2.141901,8.2015
1792,Canada,0.003664,,0.016734,
1792,United Kingdom,21.423409,,97.84136,8.61775
1792,North America,0.003664,,0.016734,
1793,Europe,21.91072,,99.98328,7.9336667
1793,Germany,0.479984,,2.190269,8.4123335
1793,Canada,0.003664,,0.01672,
1793,United Kingdom,21.430737,,97.793015,8.585667
1793,North America,0.003664,,0.01672,
1794,Canada,0.003664,,0.016745,
1794,Germany,0.443344,,2.026122,9.129
1794,United Kingdom,21.4344,,97.95713,9.02425
1794,North America,0.003664,,0.016745,
1794,Europe,21.877745,,99.98325,8.515833
1795,Europe,21.888737,,99.98326,7.6454167
1795,North America,0.003664,,0.016736,
1795,Canada,0.003664,,0.016736,
1795,Germany,0.447008,,2.041841,8.037583
1795,United Kingdom,21.441729,,97.94142,8.226916
1796,Canada,0.003664,,0.015964,0.79271436
1796,United Kingdom,22.412687,,97.65326,8.52575
1796,Germany,0.534944,,2.330779,8.179084
1796,Europe,22.947632,,99.98404,7.92925
1796,North America,0.003664,,0.015964,6.436
1797,Canada,0.003664,,0.015207,-9.42
1797,Germany,0.5496,,2.281022,9.023167
1797,Europe,24.0908,,99.984795,8.63925
1797,North America,0.003664,,0.015207,-0.7736666
1797,United Kingdom,23.5412,,97.70377,8.58875
1798,North America,0.003664,,0.014601,
1798,Canada,0.003664,,0.014601,
1798,United Kingdom,24.515823,,97.69309,8.930834
1798,Europe,25.091072,,99.9854,8.303417
1798,Germany,0.575248,,2.292305,8.49575
1799,North America,0.003664,,0.013864,
1799,Europe,26.424768,,99.98614,6.8049164
1799,Canada,0.003664,,0.013864,
1799,United Kingdom,25.798223,,97.61542,7.2150836
1799,Germany,0.626544,,2.37072,6.313083
1800,Canada,0.003664,0.005676,0.013043,
1800,Germany,0.795088,0.03474,2.830312,8.106667
1800,Europe,27.835407,0.138336,99.087,7.8215833
1800,United States,0.252816,0.037169,0.899961,
1800,North America,0.25648,0.015341,0.913004,
1800,United Kingdom,26.633615,2.16051,94.80892,8.25725
1800,Poland,0.406704,0.042772,1.447763,7.1980834
1801,Canada,0.003664,0.00561,0.013104,
1801,Germany,0.534944,0.023275,1.913249,8.810666
1801,Poland,0.443344,0.046411,1.585638,8.455584
1801,United States,0.267472,0.038577,0.956624,
1801,Europe,27.688848,0.13714,99.03027,8.350416
1801,North America,0.271136,0.016045,0.969729,
1801,United Kingdom,26.71056,2.139606,95.53139,8.673667
1802,Europe,36.489777,0.180108,99.20311,8.178083
1802,North America,0.29312,0.017164,0.796892,
1802,Belgium,6.397344,2.020296,17.392172,9.359333
1802,United States,0.289456,0.040955,0.786931,
1802,France,2.238704,0.075787,6.086264,13.119083
1802,United Kingdom,26.849792,2.123813,72.995316,8.386084
1802,Canada,0.003664,0.005545,0.009961,
1802,Poland,0.450672,0.046961,1.225222,8.103
1802,Germany,0.553264,0.02397,1.504134,8.26
1803,United States,0.296784,0.041194,0.942518,
1803,Europe,31.187967,0.153401,99.045845,7.33075
1803,Germany,0.534944,0.023079,1.69886,7.35425
1803,Canada,0.003664,0.00548,0.011636,
1803,United Kingdom,30.19136,2.358211,95.880844,8.08225
1803,North America,0.300448,0.017407,0.954154,
1803,Poland,0.461664,0.047885,1.466139,6.4678335
1804,Canada,0.003664,0.005416,0.010679,
1804,Germany,1.0076,0.043287,2.936779,7.8385835
1804,North America,0.337088,0.019322,0.982486,
1804,France,2.176416,0.073219,6.343443,13.092667
1804,United Kingdom,30.330591,2.339405,88.40239,8.456583
1804,United States,0.333424,0.045401,0.971807,
1804,Europe,33.972607,0.166509,99.01752,7.71975
1804,Poland,0.458,0.047287,1.3349,6.8479166
1805,Germany,1.040576,0.044516,3.113694,6.4745
1805,Poland,0.571584,0.058743,1.710339,5.888
1805,Europe,33.07493,0.161538,98.96941,6.830167
1805,Canada,0.003664,0.005353,0.010964,
1805,United Kingdom,31.462769,2.396327,94.14538,7.987583
1805,United States,0.340752,0.045518,1.019625,
1805,North America,0.344416,0.019531,1.030589,
1806,United States,0.333424,0.043693,0.951385,
1806,Canada,0.003664,0.005291,0.010455,
1806,Germany,0.937984,0.039958,2.676424,8.898167
1806,North America,0.337088,0.018909,0.96184,
1806,Poland,0.520288,0.053226,1.484579,8.274167
1806,Europe,34.709072,0.168921,99.03816,8.196584
1806,United Kingdom,33.2508,2.500782,94.87716,8.63725
1807,United Kingdom,33.25813,2.469995,90.192764,7.893083
1807,United States,0.377392,0.048516,1.02345,
1807,Canada,0.003664,0.005229,0.009936,
1807,North America,0.381056,0.021144,1.033386,
1807,Germany,2.689376,0.114083,7.293323,8.49675
1807,Austria,0.168544,0.051671,0.457075,6.7718334
1807,Poland,0.377392,0.03843,1.02345,8.184
1807,Europe,36.49344,0.176984,98.96661,7.8915
1808,Canada,0.003664,0.005168,0.010449,
1808,Poland,0.501968,0.050881,1.431557,6.769583
1808,North America,0.395712,0.021717,1.128527,
1808,Europe,34.66877,0.16755,98.871475,7.07825
1808,United States,0.392048,0.049443,1.118077,
1808,United Kingdom,33.26912,2.439856,94.87983,7.964083
1808,Germany,0.89768,0.037919,2.560084,7.3159165
1809,United States,0.40304,0.049864,1.148585,
1809,Europe,34.683426,0.167049,98.84097,6.993583
1809,North America,0.406704,0.022075,1.159027,
1809,Germany,0.930656,0.039146,2.652188,7.855
1809,Poland,0.472656,0.04769,1.346977,7.030083
1809,United Kingdom,33.280113,2.410084,94.841805,7.8686666
1809,Canada,0.003664,0.005108,0.010442,
1810,United Kingdom,33.291103,2.360057,89.06097,7.77375
1810,North America,0.42136,0.022537,1.12723,
1810,Poland,0.56792,0.057016,1.51931,7.0216665
1810,Germany,0.978288,0.040963,2.617134,7.7455
1810,France,2.121456,0.070031,5.675358,12.032583
1810,Europe,36.958767,0.177225,98.87277,7.04075
1810,Canada,0.003664,0.005036,0.009802,
1810,United States,0.417696,0.050356,1.117428,
1811,Europe,39.13152,0.186912,98.86143,8.041583
1811,Canada,0.003664,0.004971,0.009257,-4.7030005
1811,Germany,0.926992,0.038632,2.341942,9.143833
1811,United Kingdom,35.562782,2.486678,89.84541,8.6884165
1811,Poland,0.589904,0.058943,1.490327,8.387083
1811,United States,0.447008,0.052829,1.129316,8.0434
1811,France,2.05184,0.067509,5.183745,12.9515
1811,North America,0.450672,0.023826,1.138573,1.7956
1812,United Kingdom,36.936783,2.547322,90.073265,7.4835
1812,Germany,0.912336,0.037823,2.224803,6.7629166
1812,Europe,40.520176,0.192736,98.81165,6.5304165
1812,North America,0.487312,0.025452,1.188349,0.37266645
1812,Poland,0.454336,0.045176,1.107934,5.9645
1812,France,2.21672,0.072679,5.405647,11.558583
1812,United States,0.483648,0.055995,1.179414,7.0126667
1812,Canada,0.003664,0.0049,0.008935,-7.0410833
1813,France,2.048176,0.066906,4.968889,12.11275
1813,Germany,0.890352,0.036703,2.16,7.682833
1813,United States,0.520288,0.058975,1.262222,9.918889
1813,United Kingdom,37.376465,2.542116,90.67555,8.172417
1813,Poland,0.381056,0.0377,0.924444,7.112583
1813,North America,0.523952,0.027023,1.271111,3.4550002
1813,Europe,40.69605,0.192712,98.72889,7.345
1813,Canada,0.003664,0.004824,0.008889,-3.3954444
1814,Germany,0.883024,0.036178,2.096017,6.81
1814,North America,0.564256,0.028723,1.339363,-2.44
1814,Europe,41.564415,0.195897,98.66064,6.6998334
1814,France,2.092144,0.068078,4.966081,11.62825
1814,United States,0.560592,0.062177,1.330666,3.7843332
1814,United Kingdom,38.08728,2.55458,90.40703,7.195
1814,Canada,0.003664,0.004742,0.008697,-9.822666
1814,Poland,0.501968,0.049408,1.191512,6.1828337
1815,Poland,0.589904,0.057757,1.356475,6.5569167
1815,Canada,0.003664,0.004656,0.008425,-6.4095
1815,Europe,42.883457,0.201108,98.609825,7.253083
1815,United Kingdom,38.922672,2.5743,89.50207,7.962583
1815,United States,0.600896,0.065181,1.381751,7.501333
1815,Germany,1.029584,0.041907,2.367512,7.6319165
1815,North America,0.60456,0.030361,1.390176,0.93299997
1815,France,2.341296,0.075877,5.383773,12.26775
1816,Germany,2.385264,0.096417,5.004228,6.7643332
1816,United Kingdom,41.436176,2.702242,86.93212,7.04025
1816,North America,0.666848,0.033026,1.399031,-2.625375
1816,United States,0.663184,0.070324,1.391344,4.396625
1816,Europe,46.998127,0.219254,98.60097,6.6792502
1816,France,2.498848,0.080644,5.242524,11.287917
1816,Canada,0.003664,0.004565,0.007687,-10.973625
1816,Poland,0.67784,0.066007,1.422092,6.5911665
1817,United States,0.718144,0.074416,1.45282,7.2299166
1817,France,2.660064,0.085477,5.381365,12.312
1817,Europe,48.709217,0.225997,98.539764,7.44
1817,United Kingdom,41.92349,2.695824,84.812096,7.8811665
1817,North America,0.721808,0.035238,1.460233,0.6720834
1817,Poland,0.743792,0.072028,1.504707,7.470083
1817,Germany,3.381872,0.135716,6.841598,7.9490833
1817,Canada,0.003664,0.004471,0.007412,-6.629667
1818,Germany,3.532096,0.140679,7.114916,8.280833
1818,Canada,0.003664,0.004372,0.007381,-7.9931
1818,United Kingdom,42.022415,2.664424,84.648315,8.744166
1818,North America,0.784096,0.037719,1.579452,-0.32359993
1818,United States,0.780432,0.078999,1.572072,6.2747
1818,Europe,48.85944,0.225405,98.42055,7.9403334
1818,France,2.3816,0.07619,4.797402,12.916583
1818,Poland,0.923328,0.088907,1.859916,7.535917
1819,Poland,0.758448,0.072607,1.518486,7.834833
1819,Europe,49.181873,0.225553,98.46684,7.839667
1819,France,2.557472,0.081443,5.120305,12.67925
1819,Austria,0.252816,0.074824,0.506162,6.4925
1819,Canada,0.003664,0.004271,0.007336,-22.616
1819,United Kingdom,42.33752,2.646895,84.763794,8.356334
1819,North America,0.765776,0.036286,1.533157,-11.192666
1819,United States,0.762112,0.075337,1.525822,-2.7746668
1819,Germany,3.275616,0.129449,6.558099,8.586333
1820,Canada,0.003664,0.004166,0.007229,-6.1716666
1820,Poland,0.747456,0.07113,1.474628,6.6974998
1820,North America,0.795088,0.037098,1.568599,1.0607499
1820,Europe,49.89269,0.227413,98.431404,7.1718335
1820,Austria,0.333424,0.09832,0.6578,5.5998335
1820,Germany,3.381872,0.132582,6.671968,7.17875
1820,France,2.901888,0.091977,5.725025,12.109
1820,United Kingdom,42.52805,2.621647,83.90198,7.8304167
1820,United States,0.791424,0.07638,1.561371,7.563833
1821,Poland,0.828064,0.078322,1.609916,7.49125
1821,France,3.011808,0.09501,5.855535,12.866917
1821,Austria,0.359072,0.105485,0.698105,6.0730834
1821,Germany,3.532096,0.137341,6.867075,8.215584
1821,Canada,0.003664,0.004059,0.007124,-5.5603333
1821,United States,0.828064,0.077974,1.609916,8.004084
1821,North America,0.831728,0.038192,1.617039,1.5950832
1821,Europe,50.603504,0.229196,98.38296,7.763833
1821,United Kingdom,42.872463,2.605946,83.352325,8.693916
1822,Canada,0.003664,0.00395,0.006853,-5.8201666
1822,United Kingdom,44.521263,2.668793,83.27165,9.129666
1822,North America,0.868368,0.039223,1.624178,1.6589167
1822,Poland,0.908672,0.085413,1.699561,8.616834
1822,United States,0.864704,0.079402,1.617325,8.386833
1822,Austria,0.3664,0.10722,0.685307,7.4284167
1822,Germany,3.631024,0.140006,6.791393,9.348666
1822,Europe,52.59672,0.236677,98.375824,8.67425
1822,France,3.16936,0.099499,5.927906,13.540334
1823,Austria,0.34808,0.101453,0.615524,5.8205
1823,Canada,0.003664,0.003839,0.006479,-6.3234167
1823,United Kingdom,46.87355,2.771453,82.88843,7.7950835
1823,Europe,55.64517,0.248725,98.399635,7.57575
1823,Germany,4.034064,0.154209,7.133601,7.595667
1823,Poland,1.220112,0.113962,2.157574,7.1760836
1823,United States,0.901344,0.080673,1.593884,7.911
1823,France,3.16936,0.099019,5.60451,12.29975
1823,North America,0.905008,0.040192,1.600363,1.1981667
1824,Austria,0.399376,0.115926,0.682402,6.526583
1824,North America,1.018592,0.044457,1.740437,2.03125
1824,Poland,1.275072,0.118326,2.178677,8.28075
1824,Canada,0.003664,0.003726,0.006261,-5.171583
1824,United Kingdom,49.082943,2.862934,83.86652,8.59825
1824,Europe,57.50648,0.255291,98.25956,8.28175
1824,Germany,3.231648,0.122445,5.521818,8.56575
1824,France,3.51744,0.10936,6.010142,12.833167
1824,United States,1.014928,0.088506,1.734176,8.50225
1825,North America,1.139504,0.048858,1.875528,2.211
1825,United States,1.13584,0.09647,1.869497,8.9665
1825,Canada,0.003664,0.003613,0.006031,-5.1515
1825,Europe,59.616943,0.262799,98.12447,8.065416
1825,United Kingdom,49.59224,2.854074,81.62466,8.947666
1825,Poland,1.326368,0.122276,2.18309,7.767833
1825,Germany,4.338176,0.162869,7.140273,8.711416
1825,Austria,0.40304,0.116495,0.66337,6.5649166
1825,France,3.95712,0.122426,6.513086,13.13075
1826,Austria,0.458,0.131861,0.74569,6.276583
1826,Germany,4.187952,0.155749,6.818589,8.551084
1826,Canada,0.003664,0.003499,0.005966,-5.1655
1826,United States,1.315376,0.108778,2.141621,8.5789995
1826,United Kingdom,50.145504,2.847875,81.6441,9.1255
1826,Europe,60.100594,0.26302,97.85241,8.257
1826,France,4.089024,0.125874,6.65752,12.830417
1826,Poland,1.220112,0.111726,1.986518,7.8304167
1826,North America,1.31904,0.055538,2.147587,2.0555
1827,Austria,0.47632,0.136524,0.722624,6.293667
1827,United Kingdom,52.23032,2.92772,79.238464,8.49025
1827,Poland,1.308048,0.118959,1.984436,7.8442497
1827,Germany,4.539696,0.167194,6.88716,8.151584
1827,North America,1.450944,0.059971,2.201223,2.54725
1827,Europe,64.46442,0.280029,97.798775,7.935
1827,France,5.910032,0.181003,8.966092,12.632083
1827,Canada,0.003664,0.003385,0.005559,-4.64575
1827,United States,1.44728,0.116508,2.195664,9.102
1828,United Kingdom,52.589394,2.91007,78.91901,9.11125
1828,Canada,0.003664,0.003272,0.005498,-5.096833
1828,France,6.243456,0.190222,9.36933,13.242001
1828,Europe,65.039665,0.280384,97.602684,7.771917
1828,North America,1.597504,0.064797,2.397317,2.2135835
1828,Germany,4.539696,0.165518,6.812558,8.411083
1828,Poland,1.20912,0.109196,1.814483,7.107
1828,United States,1.59384,0.124875,2.391818,8.8485
1828,Austria,0.458,0.130674,0.687304,6.34975
1829,France,6.074912,0.184109,9.149605,11.5668335
1829,Norway,0.010992,0.00997,0.016555,-0.93408334
1829,Europe,64.59632,0.276308,97.290436,6.3348336
1829,Canada,0.003664,0.003159,0.005518,-5.794417
1829,United Kingdom,53.33685,2.91412,80.332214,7.3789167
1829,Austria,0.47632,0.135266,0.7174,4.240083
1829,Poland,1.066224,0.095609,1.605872,5.0364165
1829,Germany,3.631024,0.131011,5.468793,5.9049997
1829,United States,1.79536,0.136883,2.704045,8.38925
1829,North America,1.799024,0.071586,2.709563,1.6833333
1830,Canada,0.003664,0.003048,0.004111,-4.8688335
1830,Kazakhstan,0.001163,0.000519,0.001305,5.4841666
1830,United Kingdom,67.86461,3.661628,76.14702,7.9960833
1830,Ukraine,0.003383,0.000275,0.003796,7.2279167
1830,France,6.551232,0.197476,7.350765,12.3203335
1830,Norway,0.007328,0.006568,0.008222,-0.07533327
1830,United States,2.08848,0.154926,2.343365,9.215083
1830,Georgia,0.000141,0.00012,0.000158,8.056
1830,Uzbekistan,0.000563,0.000267,0.000632,
1830,North America,2.092144,0.081644,2.347476,2.463
1830,Germany,4.792512,0.17106,5.377405,7.289583
1830,Lithuania,0.000159,0.000186,0.000178,5.2180834
1830,Moldova,0.000138,0.000176,0.000155,8.378083
1830,Belarus,0.000578,0.000224,0.000649,5.28825
1830,Latvia,8.5e-05,0.000131,9.5e-05,4.603833
1830,Estonia,0.000166,0.000453,0.000186,4.19525
1830,Armenia,9.2e-05,0.000203,0.000103,8.540584
1830,Hungary,0.113584,0.025443,0.127446,9.301833
1830,Austria,0.49464,0.139796,0.555007,5.59525
1830,Turkmenistan,0.00021,0.000521,0.000236,
1830,Europe,87.0284,0.369299,97.64961,7.4133334
1830,Belgium,6.195824,1.651528,6.951982,8.63925
1830,Azerbaijan,0.000264,0.000273,0.000296,11.209167
1830,Asia,0.002591,3e-06,0.002907,7.287667
1830,Spain,0.003664,0.000281,0.004111,13.480333
1830,Poland,0.98928,0.08807,1.110015,6.8760834
1830,Russia,0.011219,0.000329,0.012588,-5.6604166
1831,Latvia,0.000102,0.000156,0.000121,5.18375
1831,Europe,82.257355,0.346215,97.31319,7.7444997
1831,Uzbekistan,0.000676,0.000318,0.0008,0.84800005
1831,France,6.052928,0.181463,7.160815,12.8205
1831,Turkmenistan,0.000252,0.000619,0.000298,3.6929998
1831,Russia,0.013463,0.000391,0.015927,-6.67325
1831,North America,2.268016,0.086747,2.683138,1.336
1831,Belgium,4.462752,1.179374,5.279584,10.06225
1831,Kazakhstan,0.001395,0.000617,0.00165,4.2601666
1831,Spain,0.003664,0.000279,0.004335,13.78525
1831,Lithuania,0.000191,0.000221,0.000226,5.8199167
1831,Belarus,0.000694,0.000266,0.000821,5.45125
1831,Azerbaijan,0.000317,0.000325,0.000375,10.404667
1831,Poland,0.809744,0.071559,0.957954,7.309417
1831,Estonia,0.0002,0.00054,0.000237,4.580333
1831,United Kingdom,65.76514,3.504762,77.80234,8.896667
1831,Ukraine,0.004059,0.000326,0.004802,6.869583
1831,Armenia,0.000111,0.000243,0.000131,7.7986665
1831,Moldova,0.000166,0.00021,0.000196,8.049084
1831,Austria,0.479984,0.134982,0.567837,6.26325
1831,United States,2.264352,0.163314,2.678804,7.72075
1831,Canada,0.003664,0.002938,0.004335,-5.7749996
1831,Germany,4.590992,0.162057,5.431296,8.4605
1831,Asia,0.003111,4e-06,0.00368,6.3099165
1831,Hungary,0.069616,0.01548,0.082358,9.520166
1831,Georgia,0.000169,0.000142,0.0002,7.3503337
1831,Norway,0.003664,0.003245,0.004335,0.1678333
1832,North America,3.026464,0.113427,3.5559,1.4651667
1832,France,6.679472,0.199178,7.847949,12.423833
1832,Asia,0.002073,3e-06,0.002436,6.3073335
1832,Moldova,0.000111,0.000139,0.00013,6.6815
1832,United Kingdom,65.589264,3.452835,77.063156,8.445
1832,Austria,0.51296,0.143533,0.602695,5.7333336
1832,Ukraine,0.002706,0.000216,0.003179,5.4711666
1832,Lithuania,0.000127,0.000146,0.000149,4.7786665
1832,Georgia,0.000113,9.4e-05,0.000133,6.235417
1832,Spain,0.003664,0.000277,0.004305,13.305166
1832,Belgium,4.715568,1.235505,5.540488,8.889584
1832,Kazakhstan,0.00093,0.000408,0.001093,4.1148334
1832,Europe,82.08252,0.342689,96.441666,7.231
1832,Turkmenistan,0.000168,0.000409,0.000197,13.765917
1832,Canada,0.003664,0.002831,0.004305,-5.9278336
1832,Poland,1.033248,0.090641,1.214,6.3564167
1832,Germany,3.447824,0.120384,4.050971,7.671917
1832,Uzbekistan,0.00045,0.00021,0.000529,11.341833
1832,United States,3.0228,0.211925,3.551595,8.2474165
1832,Azerbaijan,0.000211,0.000214,0.000248,9.634
1832,Russia,0.008975,0.000258,0.010545,-6.6811666
1832,Latvia,6.8e-05,0.000103,8e-05,4.4624166
1832,Belarus,0.000462,0.000175,0.000543,4.2301664
1832,Hungary,0.087936,0.019412,0.103319,8.804417
1832,Estonia,0.000133,0.000356,0.000156,4.364917
1832,Kyrgyzstan,8.6e-05,0.000145,0.000101,2.3540833
1832,Armenia,7.4e-05,0.00016,8.7e-05,6.8919168
1833,Moldova,0.000138,0.000172,0.000159,8.63075
1833,Austria,0.428688,0.119344,0.493838,6.061
1833,France,7.247392,0.214986,8.34881,12.624833
1833,United Kingdom,65.494,3.406458,75.44741,8.36875
1833,Germany,4.37848,0.151253,5.043897,8.111167
1833,Tajikistan,5.1e-05,9.7e-05,5.9e-05,3.6299999
1833,North America,3.532096,0.129688,4.068884,2.05725
1833,Ukraine,0.003383,0.000267,0.003897,7.3797503
1833,Turkmenistan,0.00021,0.000507,0.000242,14.311833
1833,Armenia,9.2e-05,0.000197,0.000106,8.050834
1833,United States,3.528432,0.240429,4.064663,8.811916
1833,Lithuania,0.000159,0.000181,0.000183,6.186
1833,Poland,1.073552,0.093487,1.236704,7.544667
1833,Kyrgyzstan,0.000107,0.000179,0.000123,2.8009167
1833,Russia,0.011219,0.00032,0.012924,-6.1644998
1833,Hungary,0.065952,0.014453,0.075975,9.649333
1833,Azerbaijan,0.000264,0.000266,0.000304,10.692833
1833,Georgia,0.000141,0.000117,0.000162,7.573583
1833,Uzbekistan,0.000563,0.00026,0.000649,11.849083
1833,Belarus,0.000578,0.000218,0.000666,5.962333
1833,Canada,0.003664,0.002728,0.004221,-5.2483335
1833,Spain,0.003664,0.000275,0.004221,13.2425
1833,Europe,83.2728,0.344872,95.92813,7.6935
1833,Asia,0.002591,3e-06,0.002985,6.79975
1833,Estonia,0.000166,0.00044,0.000191,5.1225834
1833,Latvia,8.5e-05,0.000128,9.8e-05,5.6499166
1833,Kazakhstan,0.001163,0.000505,0.00134,4.720083
1833,Belgium,4.565344,1.185906,5.259159,9.361334
1834,Georgia,,,,7.42825
1834,Sweden,0.032976,0.011112,0.037267,2.845
1834,Estonia,,,,5.2788334
1834,Asia,,,,7.0004997
1834,Germany,4.411456,0.150798,4.985507,9.511084
1834,Latvia,,,,6.162083
1834,United Kingdom,65.53797,3.368251,74.06625,9.374
1834,Azerbaijan,,,,10.555917
1834,Kazakhstan,,,,4.7720833
1834,Turkmenistan,,,,14.165833
1834,Canada,0.003664,0.002629,0.004141,-5.5074167
1834,Europe,85.10007,0.349633,96.17391,8.445167
1834,Kyrgyzstan,,,,2.8871667
1834,Spain,0.003664,0.000273,0.004141,14.203834
1834,Hungary,0.069616,0.015145,0.078675,10.8480835
1834,Belarus,,,,6.6501665
1834,North America,3.385536,0.121758,3.826087,1.9643333
1834,Poland,1.128512,0.097553,1.275362,8.725917
1834,Armenia,,,,7.92525
1834,Austria,0.58624,0.162368,0.662526,7.4300833
1834,Tajikistan,,,,3.63225
1834,Russia,,,,-5.778167
1834,Uzbekistan,,,,11.7509165
1834,Belgium,4.407792,1.135193,4.981366,10.7820835
1834,France,8.92184,0.263305,10.082816,13.549084
1834,Ukraine,,,,7.8809166
1834,Moldova,,,,9.155084
1834,Lithuania,,,,6.9729166
1834,United States,3.381872,0.223946,3.821946,8.829583
1835,Azerbaijan,,,,10.191334
1835,Belarus,,,,5.3055835
1835,Asia,,,,6.143833
1835,Canada,0.003664,0.002532,0.004051,-6.423333
1835,Latvia,,,,4.9338336
1835,Uzbekistan,,,,11.15675
1835,Kyrgyzstan,,,,2.055
1835,Poland,1.20912,0.103755,1.336844,7.13275
1835,Hungary,0.051296,0.011078,0.056715,9.155
1835,Germany,4.931744,0.166835,5.452704,7.95875
1835,Europe,86.125984,0.351046,95.22382,7.2813334
1835,Ukraine,,,,6.86
1835,Moldova,,,,8.070583
1835,Norway,0.014656,0.012376,0.016204,-0.48808315
1835,Armenia,,,,7.5754166
1835,Turkmenistan,,,,13.676916
1835,Georgia,,,,7.135
1835,Lithuania,,,,5.5936666
1835,North America,4.319856,0.152148,4.77618,0.87424994
1835,United States,4.316192,0.277737,4.772129,7.53925
