Year,TotalEmissions,LandAverageTemperature,LandMaxTemperature,LandMinTemperature,LandAndOceanAverageTemperature
2003,72541.29,9.525583,20.757,-1.481,15.826583
2004,75360.914,9.324583,20.087,-1.65,15.75725
2005,77306.805,9.700916,20.88,-1.534,15.87925
2006,79538.79,9.5325,20.905,-1.942,15.8135
2007,81403.84,9.732166,21.108,-1.503,15.827333
2008,82712.86,9.43175,21.006,-2.383,15.72125
2009,80755.15,9.50525,21.085,-1.756,15.827167
2010,84740.734,9.703083,20.97,-1.677,15.8955
2011,86949.15,9.516,21.32,-2.034,15.7695
2012,88256.38,9.507334,21.006,-2.233,15.802333
2013,88309.63,9.6065,20.737,-1.726,15.854417
2014,88486.4,9.570666,20.79,-2.08,15.913
2015,88603.84,9.831,20.904,-1.518,16.058584
